,pct_barrier_reason_other,barrier_reason_other_se,pct_barrier_reason_other_unw,barrier_reason_other_se_unw,sample_size,country,iso_code,gid_0,survey_date
90,0.047300999999999996,0.019128,0.06875,0.020003999999999997,160,Tunisia,TUN,TUN,20210507
91,0.044403,0.020099,0.052632,0.017076,171,Tunisia,TUN,TUN,20210508
92,0.030130000000000004,0.013340000000000001,0.043477999999999996,0.016072,161,Tunisia,TUN,TUN,20210509
93,0.083577,0.031417,0.090278,0.023882,144,Tunisia,TUN,TUN,20210510
94,0.034217,0.017002,0.047297,0.017449,148,Tunisia,TUN,TUN,20210511
95,0.050776999999999996,0.025521,0.034247,0.015051,146,Tunisia,TUN,TUN,20210512
96,0.07687000000000001,0.029967999999999998,0.089431,0.025730000000000003,123,Tunisia,TUN,TUN,20210514
97,0.052768999999999996,0.021054,0.086614,0.024959,127,Tunisia,TUN,TUN,20210515
98,0.049745,0.023337,0.07200000000000001,0.02312,125,Tunisia,TUN,TUN,20210516
99,0.101682,0.042724,0.075,0.024044,120,Tunisia,TUN,TUN,20210517
100,0.14049599999999998,0.031591,0.14049599999999998,0.031591,121,Tunisia,TUN,TUN,20210519
