,pct_barrier_reason_waitlater,barrier_reason_waitlater_se,pct_barrier_reason_waitlater_unw,barrier_reason_waitlater_se_unw,sample_size,country,iso_code,gid_0,survey_date
88,0.45594399999999996,0.054678,0.506329,0.039775,158,Tunisia,TUN,TUN,20210505
89,0.415315,0.061112,0.40476199999999996,0.03787,168,Tunisia,TUN,TUN,20210506
90,0.38237699999999997,0.052933999999999995,0.43125,0.039153,160,Tunisia,TUN,TUN,20210507
91,0.522393,0.056174999999999996,0.49707599999999996,0.038235,171,Tunisia,TUN,TUN,20210508
92,0.5267809999999999,0.057662,0.534161,0.039313,161,Tunisia,TUN,TUN,20210509
93,0.517385,0.065695,0.458333,0.041521999999999996,144,Tunisia,TUN,TUN,20210510
94,0.532941,0.068577,0.47973000000000005,0.041066,148,Tunisia,TUN,TUN,20210511
95,0.512933,0.064278,0.527397,0.041318,146,Tunisia,TUN,TUN,20210512
96,0.529841,0.06482299999999999,0.46341499999999997,0.044962999999999996,123,Tunisia,TUN,TUN,20210514
97,0.5989949999999999,0.06342199999999999,0.5511809999999999,0.044135,127,Tunisia,TUN,TUN,20210515
98,0.5804900000000001,0.064774,0.456,0.044548,125,Tunisia,TUN,TUN,20210516
99,0.456542,0.068438,0.541667,0.045485,120,Tunisia,TUN,TUN,20210517
100,0.5371900000000001,0.045329,0.5371900000000001,0.045329,121,Tunisia,TUN,TUN,20210519
