,pct_trust_politicians,trust_politicians_se,pct_trust_politicians_unw,trust_politicians_se_unw,sample_size,country,iso_code,gid_0,survey_date
78,0.427542,0.076638,0.380165,0.04413,121,Tunisia,TUN,TUN,20210502
79,0.360773,0.059590000000000004,0.385965,0.045595,114,Tunisia,TUN,TUN,20210503
80,0.37011099999999997,0.070945,0.315789,0.043535,114,Tunisia,TUN,TUN,20210504
81,0.377838,0.060050000000000006,0.336364,0.045048,110,Tunisia,TUN,TUN,20210505
82,0.35473499999999997,0.073005,0.319672,0.042220999999999995,122,Tunisia,TUN,TUN,20210506
83,0.439306,0.069796,0.42156899999999997,0.048894,102,Tunisia,TUN,TUN,20210507
84,0.440803,0.070524,0.434426,0.044877,122,Tunisia,TUN,TUN,20210508
85,0.38724000000000003,0.068634,0.403101,0.043188,129,Tunisia,TUN,TUN,20210509
86,0.284871,0.062925,0.364486,0.046528,107,Tunisia,TUN,TUN,20210510
87,0.400165,0.069656,0.366071,0.045519,112,Tunisia,TUN,TUN,20210511
88,0.451351,0.069682,0.41379299999999997,0.045729,116,Tunisia,TUN,TUN,20210512
